,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S01009040,560,227,184,0,14,56,79
S01009041,765,306,259,0,33,72,95
S01009042,724,278,289,2,24,48,83
S01009043,547,198,224,0,15,45,65
S01009044,749,224,314,0,18,53,140
S01009045,556,183,255,0,24,42,52
S01009046,710,202,394,0,17,41,56
S01009047,648,184,363,0,10,40,51
S01009048,686,179,405,0,12,23,67
S01009049,502,119,285,0,15,29,54
S01009050,676,188,351,0,21,52,64
S01009051,564,181,284,0,22,41,36
S01009052,539,153,273,0,12,54,47
S01009053,424,201,110,0,18,72,23
S01009054,480,140,232,2,20,44,42
S01009055,693,184,393,2,21,57,36
S01009056,432,160,183,0,11,55,23
S01009057,461,209,143,0,15,44,50
S01009058,674,219,302,1,25,59,68
S01009059,700,234,361,0,18,53,34
S01009060,411,96,275,0,9,19,12
S01009061,650,195,345,0,12,59,39
S01009062,538,154,240,1,27,58,58
S01009063,614,162,361,0,16,30,45
S01009064,473,173,205,0,17,38,40
S01009065,544,217,186,0,30,62,49
S01009066,594,192,277,0,27,47,51
S01009067,649,158,412,4,19,33,23
S01009068,732,236,341,0,31,67,57
S01009069,525,127,342,0,12,25,19
S01009070,525,156,302,2,11,36,18
S01009071,413,108,221,0,16,35,33
S01009072,413,110,250,0,9,27,17
S01009073,539,160,242,0,18,38,81
S01009074,582,217,258,0,12,65,30
S01009075,453,138,234,0,10,33,38
S01009076,768,237,424,0,38,45,24
S01009077,521,159,297,0,10,31,24
S01009078,571,126,383,2,13,39,8
S01009079,757,226,309,4,28,82,108
S01009080,775,238,358,0,28,80,71
S01009081,565,145,296,0,19,48,57
S01009082,832,278,361,0,35,63,95
S01009083,625,197,319,0,21,50,38
S01009084,385,103,221,0,6,27,28
S01009085,575,154,371,0,15,31,4
S01009086,564,156,303,0,28,42,35
S01009087,474,144,221,2,26,47,34
S01009088,838,207,522,0,23,44,42
S01009089,692,146,480,0,15,36,15
S01009090,643,260,284,2,34,47,16
S01009091,476,102,334,0,6,30,4
S01009092,872,242,460,1,23,77,69
S01009093,600,237,236,0,28,60,39
S01009094,576,85,419,0,10,15,47
S01009095,664,198,351,0,23,42,50
S01009096,779,205,388,2,22,76,86
S01009097,699,182,424,2,17,47,27
S01009098,426,96,287,0,4,20,19
S01009099,662,195,310,2,15,54,86
S01009100,651,242,215,0,32,63,99
S01009101,763,259,360,4,28,66,46
S01009102,600,252,221,0,33,60,34
S01009103,487,106,306,0,4,25,46
S01009104,650,211,312,0,18,62,47
S01009105,639,190,316,1,31,54,47
S01009106,457,140,213,0,19,42,43
S01009107,672,179,378,0,22,55,38
S01009108,612,147,358,4,18,48,37
S01009109,569,124,387,0,9,26,23
S01009110,499,118,269,0,26,50,36
S01009111,698,213,352,1,27,60,45
S01009112,470,81,313,4,6,30,36
S01009113,790,206,420,0,18,44,102
S01009114,615,181,341,0,21,44,28
S01009115,474,170,220,0,15,45,24
S01009116,405,96,260,0,9,23,17
S01009117,671,213,302,3,33,84,36
S01009118,471,119,305,0,11,25,11
S01009119,600,201,287,2,23,51,36
S01009120,444,155,199,0,20,39,31
S01009121,690,236,312,1,22,68,51
S01009122,778,216,399,4,35,69,55
S01009123,446,110,256,0,15,46,19
S01009124,407,98,244,0,20,25,20
S01009125,608,144,314,0,22,38,90
S01009126,461,212,142,0,17,51,39
S01009127,463,207,149,1,28,55,23
S01009128,687,281,195,0,22,97,92
S01009129,386,155,146,0,13,42,30
S01009130,504,203,225,0,15,33,28
S01009131,413,152,143,0,26,56,36
S01009132,633,203,341,0,24,49,16
S01009133,480,209,169,2,13,56,31
S01009134,764,235,375,7,28,68,51
S01009135,447,172,185,0,30,43,17
S01009136,620,165,323,2,14,35,81
S01009137,437,113,281,3,18,19,3
S01009138,712,220,376,2,26,60,28
S01009139,350,171,92,0,22,50,15
S01009140,616,245,221,0,22,79,49
S01009141,719,287,199,1,50,103,79
S01009142,548,224,156,3,32,75,58
S01009143,501,198,156,0,25,63,59
S01009144,542,251,227,0,15,41,8
S01009145,883,242,458,0,34,67,82
S01009146,758,314,297,0,25,74,48
S01009147,648,252,262,0,29,55,50
S01009148,549,197,260,0,18,40,34
S01009149,682,215,332,8,17,63,47
S01009150,745,91,278,0,36,137,203
S01009151,766,219,331,0,32,45,139
S01009152,625,228,184,0,40,77,96
S01009153,420,175,159,5,14,41,26
S01009154,852,246,406,0,22,53,125
S01009155,450,127,246,0,13,30,34
S01009156,461,116,273,2,5,21,44
S01009157,684,177,342,1,22,69,73
S01009158,465,159,187,4,13,45,57
S01009159,399,156,110,0,23,89,21
S01009160,583,206,215,3,31,72,56
S01009161,543,204,170,1,28,86,54
S01009162,643,263,194,0,25,104,57
S01009163,440,143,177,0,12,50,58
S01009164,598,188,284,4,12,68,42
S01009165,591,241,225,0,26,63,36
S01009166,673,268,237,2,27,70,69
S01009167,410,152,193,0,9,33,23
S01009168,562,139,337,0,12,32,42
S01009169,689,176,272,4,37,68,132
S01009170,529,179,240,1,23,64,22
S01009171,529,194,223,2,28,57,25
S01009172,556,146,336,0,6,28,40
S01009173,626,131,413,0,17,31,34
S01009174,346,69,250,0,6,16,5
S01009175,637,151,424,2,21,32,7
S01009176,801,131,541,0,18,33,78
S01009177,648,227,282,0,32,76,31
S01009178,568,237,217,0,30,56,28
S01009179,539,169,289,4,16,36,25
S01009180,805,261,380,6,24,84,50
S01009181,691,204,353,0,24,56,54
S01009182,808,225,455,0,13,65,50
S01009183,598,161,362,1,25,32,17
S01009184,693,217,339,0,26,61,50
S01009185,696,222,340,2,21,68,43
S01009186,656,208,349,0,17,53,29
S01009187,418,91,252,0,11,41,23
S01009188,713,215,354,2,32,59,51
S01009189,610,188,289,1,18,58,56
S01009190,639,174,385,0,18,38,24
S01009191,499,110,350,3,13,18,5
S01009192,994,599,320,1,9,29,36
S01009193,240,82,124,0,10,19,5
S01009194,673,121,457,0,19,40,36
S01009195,679,181,392,5,17,45,39
S01009196,584,164,293,0,12,59,56
S01009197,794,187,508,2,20,39,38
S01009198,612,151,364,2,14,47,34
S01009199,486,133,279,0,14,25,35
S01009200,892,175,588,0,22,59,48
S01009201,513,169,252,0,23,47,22
S01009202,402,90,272,0,7,18,15
S01009203,485,156,213,0,12,57,47
S01009204,685,235,334,5,25,59,27
S01009205,610,175,351,0,13,47,24
S01009206,689,209,385,1,14,51,29
S01009207,686,149,441,0,18,38,40
S01009208,540,115,323,0,16,40,46
S01009209,593,147,280,0,20,48,98
S01009210,472,93,304,2,13,36,24
S01009211,502,187,226,0,17,43,29
S01009212,683,199,335,0,27,68,54
S01009213,746,261,281,0,24,69,111
S01009214,825,199,475,4,17,57,73
S01009215,761,212,359,1,34,87,68
S01009216,755,248,362,2,19,66,58
S01009217,488,201,165,4,23,57,38
S01009218,717,178,384,5,26,44,80
S01009219,548,162,236,0,25,56,69
S01009220,446,137,198,2,20,44,45
S01009221,460,145,217,0,17,34,47
S01009222,414,145,183,0,16,34,36
S01009223,463,131,239,0,9,34,50
S01009224,519,187,200,1,18,60,53
S01009225,458,136,208,0,20,39,55
S01009226,796,262,320,0,25,95,94
S01009227,529,157,215,0,16,54,87
S01009228,499,171,189,2,19,59,59
S01009229,486,134,242,0,19,50,41
S01009230,491,199,179,0,14,68,31
S01009231,810,245,418,2,26,64,55
S01009232,466,228,126,0,17,64,31
S01009233,488,117,240,0,13,50,68
S01009234,781,354,248,1,28,105,45
S01009235,759,281,317,0,29,89,43
S01009236,419,83,239,0,14,31,52
S01009237,750,211,397,0,13,43,86
S01009238,630,195,315,1,21,43,55
S01009239,702,236,274,0,29,99,64
S01009240,541,272,107,1,29,77,55
S01009241,721,280,262,0,30,71,78
S01009242,633,157,387,0,13,32,44
S01009243,770,220,416,0,30,66,38
S01009244,694,128,482,0,7,34,43
S01009245,711,190,406,0,14,44,57
S01009246,687,187,344,0,23,58,75
S01009247,822,265,402,0,40,55,60
S01009248,589,135,354,0,20,30,50
S01009249,655,240,261,0,24,75,55
S01009250,523,136,273,0,18,55,41
S01009251,462,115,273,0,10,32,32
S01009252,359,89,237,0,7,19,7
S01009253,399,104,183,2,15,30,65
S01009254,656,219,268,2,34,80,53
S01009255,549,235,157,1,29,87,40
S01009256,412,78,265,0,8,32,29
S01009257,598,197,269,0,24,56,52
S01009258,540,122,339,0,11,30,38
S01009259,763,185,471,0,10,53,44
S01009260,965,355,415,2,31,88,74
S01009261,626,215,250,4,25,61,71
S01009262,459,175,151,0,23,57,53
S01009263,649,235,329,0,22,49,14
S01009264,465,115,274,0,8,27,41
S01009265,671,216,310,0,17,75,53
S01009266,710,187,399,1,15,56,52
S01009267,715,205,318,2,28,79,83
S01009268,774,230,392,1,40,55,56
S01009269,671,248,281,1,29,69,43
S01009270,501,187,171,0,27,58,58
S01009271,744,179,466,0,20,53,26
S01009272,552,187,263,2,17,51,32
S01009273,416,78,273,0,11,25,29
S01009274,514,123,302,1,16,34,38
S01009275,563,158,277,2,19,57,50
S01009276,756,176,467,0,25,47,41
S01009277,445,71,311,2,14,31,16
S01009278,437,99,253,0,10,45,30
S01009279,500,125,261,4,11,65,34
S01009280,698,272,270,2,32,67,55
S01009281,668,222,322,0,22,53,49
S01009282,625,165,340,0,25,52,43
S01009283,356,105,199,0,11,30,11
S01009284,650,156,390,0,18,52,34
S01009285,705,198,406,2,21,51,27
S01009286,653,149,381,0,20,62,41
S01009287,627,92,427,0,14,45,49
S01009288,700,132,421,0,13,66,68
S01009289,762,148,460,0,26,60,68
S01009290,538,80,363,0,4,30,61
S01009291,810,192,506,0,15,55,42
S01009292,425,146,179,3,21,45,31
S01009293,574,172,297,6,13,42,44
S01009294,401,106,244,1,10,22,18
S01009295,530,130,342,0,14,25,19
S01009296,426,122,263,0,5,22,14
S01009297,675,162,433,0,19,40,21
S01009298,845,321,245,4,44,122,109
S01009299,811,298,323,0,31,82,77
S01009300,444,212,135,2,22,45,28
S01009301,834,371,194,4,53,125,87
S01009302,690,331,175,1,39,104,40
S01009303,666,172,357,0,19,45,73
S01009304,770,218,402,0,26,74,50
S01009305,652,228,245,0,28,85,66
S01009306,897,426,290,1,60,73,47
S01009307,900,421,286,5,38,91,59
S01009308,436,216,114,2,27,37,40
S01009309,625,263,218,2,38,61,43
S01009310,804,191,462,3,16,61,71
S01009311,570,199,264,0,18,53,36
S01009312,578,258,182,1,37,64,36
S01009313,460,176,160,3,11,69,41
S01009314,541,140,325,1,18,30,27
S01009315,542,171,235,0,18,51,67
S01009316,621,170,343,0,17,46,45
S01009317,710,146,458,0,22,47,37
S01009318,500,110,329,0,13,23,25
S01009319,776,122,506,2,14,38,94
S01009320,599,137,299,0,21,51,91
S01009321,566,94,386,0,12,32,42
S01009322,673,151,415,1,18,46,42
S01009323,557,153,259,2,14,50,79
S01009324,448,149,202,1,20,46,30
S01009325,618,158,322,0,20,51,67
S01009326,448,149,224,0,16,37,22
S01009327,486,99,306,1,9,37,34
S01009328,478,128,305,1,12,28,4
S01009329,337,165,124,3,13,20,12
S01009330,353,140,160,0,9,38,6
S01009331,399,88,271,2,10,21,7
S01009332,750,184,468,0,11,42,45
S01009333,589,222,222,4,27,54,60
S01009334,511,198,182,0,24,58,49
S01009335,634,204,287,0,26,76,41
S01009336,518,250,156,0,20,60,32
S01009337,564,229,200,1,36,58,40
S01009338,626,229,197,1,32,106,61
S01009339,638,287,190,3,31,83,44
S01009340,483,169,190,0,20,58,46
S01009341,495,150,209,0,24,62,50
S01009342,609,205,252,2,23,78,49
S01009343,453,146,194,5,23,51,34
S01009344,530,170,245,2,18,48,47
S01009345,742,242,364,0,26,61,49
S01009346,479,97,341,1,10,22,8
S01009347,462,65,359,0,9,20,9
S01009348,351,83,231,2,10,19,6
S01009349,564,135,361,10,15,37,6
S01009350,446,168,204,1,16,44,13
S01009351,391,130,212,3,17,24,5
S01009352,563,168,319,0,25,46,5
S01009353,295,78,178,1,9,24,5
S01009354,635,159,422,6,18,25,5
S01009355,734,165,455,1,19,51,43
S01009356,828,190,504,0,28,51,55
S01009357,363,87,233,0,14,26,3
S01009358,556,83,407,4,13,30,19
S01009359,577,147,347,3,25,44,11
S01009360,704,182,378,0,26,64,54
S01009361,651,166,374,0,17,51,43
S01009362,868,198,578,0,19,33,40
S01009363,686,206,336,0,24,63,57
S01009364,694,221,358,3,31,60,21
S01009365,479,148,226,0,20,43,42
S01009366,628,188,283,0,19,68,70
S01009367,513,172,222,3,17,63,36
S01009368,445,135,222,0,15,52,21
S01009369,485,168,225,0,14,37,41
S01009370,737,214,367,0,15,80,61
S01009371,438,140,213,0,6,45,34
S01009372,428,145,201,0,12,43,27
S01009373,645,254,222,1,24,94,50
S01009374,745,205,321,0,28,85,106
S01009375,631,202,288,0,18,80,43
S01009376,479,149,220,0,17,56,37
S01009377,1016,528,339,2,20,85,42
S01009378,741,259,331,0,32,93,26
S01009379,688,227,366,2,25,52,16
S01009380,471,167,243,0,15,30,16
S01009381,539,206,234,0,21,51,27
S01009382,678,203,312,0,24,72,67
S01009383,686,282,220,2,41,91,50
S01009384,466,98,269,4,17,50,28
S01009385,413,118,215,0,15,28,37
S01009386,535,144,268,4,16,64,39
S01009387,481,154,230,0,23,44,30
S01009388,683,319,192,4,35,95,38
S01009389,807,235,403,0,35,75,59
S01009390,558,112,372,2,12,39,21
S01009391,513,146,306,0,23,27,11
S01009392,379,67,268,0,9,26,9
S01009393,562,149,344,0,9,35,25
S01009394,792,225,378,5,35,72,77
S01009395,581,81,412,3,10,30,45
S01009396,613,111,429,0,9,28,36
S01009397,597,147,357,1,11,42,39
S01009398,561,146,305,1,20,53,36
S01009399,596,124,368,0,15,41,48
S01009400,427,104,207,2,21,50,43
S01009401,577,108,387,0,11,31,40
S01009402,781,152,517,2,12,45,53
S01009403,419,96,245,1,16,42,19
S01009404,445,162,181,0,13,59,30
S01009405,331,62,218,0,9,31,11
S01009406,822,253,352,0,28,88,101
S01009407,427,104,230,0,18,50,25
S01009408,599,169,350,2,19,36,23
S01009409,557,155,270,0,19,56,57
S01009410,698,284,303,0,16,58,37
S01009411,693,232,319,3,20,66,53
S01009412,712,229,306,0,33,81,63
S01009413,848,261,416,0,26,65,80
S01009414,559,127,320,0,16,47,49
S01009415,686,234,279,1,22,82,68
S01009416,440,103,285,0,6,20,26
S01009417,229,57,134,0,12,20,6
S01009418,935,310,401,2,39,82,101
S01009419,458,152,208,0,15,41,42
S01009420,477,195,156,0,33,63,30
S01009421,553,205,233,2,23,60,30
S01009422,675,221,318,1,20,59,56
S01009423,703,212,420,3,20,24,24
S01009424,511,109,283,4,12,41,62
S01009425,649,192,313,0,32,55,57
S01009426,655,226,239,1,28,81,80
S01009427,504,189,178,0,14,53,70
S01009428,522,164,235,0,17,42,64
S01009429,590,213,244,0,16,59,58
S01009430,604,205,243,2,23,54,77
S01009431,553,160,256,1,20,57,59
S01009432,626,237,254,0,29,67,39
S01009433,632,235,254,0,41,52,50
S01009434,444,151,200,0,9,46,38
S01009435,585,241,195,6,26,70,47
S01009436,542,201,233,0,18,63,27
S01009437,568,183,237,0,15,61,72
S01009438,721,215,332,0,30,64,80
S01009439,734,237,342,0,37,60,58
S01009440,566,168,224,0,28,54,92
S01009441,634,270,223,0,36,65,40
S01009442,433,117,250,0,18,29,19
S01009443,568,154,300,0,20,46,48
S01009444,672,151,443,4,17,28,29
S01009445,642,203,334,0,25,35,45
S01009446,751,260,230,3,38,122,98
S01009447,421,163,172,0,16,47,23
S01009448,668,180,360,0,23,61,44
S01009449,426,128,213,0,20,29,36
S01009450,479,237,135,1,22,54,30
S01009451,775,287,327,0,23,77,61
S01009452,429,149,163,0,20,51,46
S01009453,877,295,364,1,48,75,94
S01009454,716,177,398,0,23,63,55
S01009455,717,142,436,6,17,62,54
S01009456,581,171,260,2,23,64,61
S01009457,522,105,301,0,10,48,58
S01009458,568,159,237,9,33,53,77
S01009459,718,232,302,2,18,103,61
S01009460,650,299,189,0,30,91,41
S01009461,413,91,266,4,16,24,12
S01009462,555,153,287,5,11,48,51
S01009463,560,125,327,0,22,45,41
S01009464,691,166,401,0,14,58,52
S01009465,489,126,242,0,25,56,40
S01009466,493,91,306,1,10,41,44
S01009467,656,132,393,0,16,52,63
S01009468,638,210,270,0,15,74,69
S01009469,692,202,343,0,29,63,55
S01009470,399,91,220,0,14,36,38
S01009471,595,172,197,2,22,101,101
S01009472,730,286,262,2,35,96,49
S01009473,739,343,233,1,32,85,45
S01009474,685,279,264,0,24,85,33
S01009475,447,93,291,0,18,27,18
S01009476,355,76,229,0,14,26,10
S01009477,629,179,301,0,20,50,79
S01009478,736,341,211,14,33,92,45
S01009479,750,282,264,4,14,73,113
S01009480,720,178,376,0,14,66,86
S01009481,801,337,273,0,33,77,81
S01009482,566,253,191,0,20,39,63
S01009483,614,288,217,0,18,63,28
S01009484,683,250,263,0,21,77,72
S01009485,654,197,296,1,26,69,65
S01009486,569,140,314,6,17,32,60
S01009487,668,215,301,2,19,57,74
S01009488,536,154,291,0,16,42,33
S01009489,673,223,271,2,22,81,74
S01009490,655,274,226,2,26,83,44
S01009491,594,167,265,0,11,69,82
S01009492,613,197,304,4,16,52,40
S01009493,737,112,503,0,9,21,92
S01009494,743,179,472,0,20,48,24
S01009495,727,178,432,0,22,70,25
S01009496,660,192,318,0,27,62,61
S01009497,808,249,406,2,28,74,49
S01009498,554,104,375,0,9,25,41
S01009499,665,178,359,0,20,50,58
S01009500,634,230,216,0,28,97,63
S01009501,570,163,233,2,21,78,73
S01009502,668,227,293,0,20,77,51
S01009503,591,178,264,0,21,71,57
S01009504,527,208,182,0,23,72,42
S01009505,595,285,164,0,19,78,49
S01009506,570,204,213,0,29,67,57
S01009507,664,193,326,0,23,77,45
S01009508,676,281,242,1,31,76,45
S01009509,797,321,314,3,15,72,72
S01009510,602,139,370,0,10,32,51
S01009511,526,122,310,0,9,28,57
S01009512,632,125,407,0,16,44,40
S01009513,487,101,319,2,11,28,26
S01009514,584,134,378,0,16,27,29
S01009515,615,161,310,0,18,59,67
S01009516,758,177,382,0,15,79,105
S01009517,703,197,431,0,18,45,12
S01009518,661,209,385,2,12,44,9
S01009519,401,120,221,0,16,35,9
S01009520,659,164,400,0,14,60,21
S01009521,702,219,334,5,26,62,56
S01009522,758,279,346,3,30,64,36
S01009523,482,187,177,3,18,47,50
S01009524,531,201,196,8,15,81,30
S01009525,447,185,163,2,18,47,32
S01009526,576,274,189,2,30,51,30
S01009527,573,261,168,0,11,71,62
S01009528,491,134,166,0,27,70,94
S01009529,505,114,270,0,9,43,69
S01009530,497,105,295,0,13,40,44
S01009531,680,239,248,0,29,90,74
S01009532,706,199,322,0,14,78,93
S01009533,653,273,199,0,27,85,69
S01009534,651,280,165,4,46,94,62
S01009535,486,248,108,0,19,83,28
S01009536,417,143,173,2,14,53,32
S01009537,451,146,195,2,22,53,33
S01009538,671,277,195,2,31,99,67
S01009539,738,208,375,0,20,71,64
S01009540,716,285,227,3,36,119,46
S01009541,639,185,349,0,21,42,42
S01009542,586,251,184,2,30,76,43
S01009543,480,109,231,2,22,61,55
S01009544,724,186,364,0,21,88,65
S01009545,646,191,327,0,27,51,50
S01009546,792,290,368,0,21,72,41
S01009547,600,222,259,0,29,56,34
S01009548,572,172,271,0,21,61,47
S01009549,649,188,327,0,24,60,50
S01009550,415,115,222,0,14,32,32
S01009551,421,120,213,0,19,37,32
S01009552,776,172,438,2,16,64,84
S01009553,701,293,228,0,30,88,62
S01009554,554,184,254,0,22,53,41
S01009555,633,201,287,1,33,57,54
S01009556,605,231,242,0,20,76,36
S01009557,526,201,186,1,33,66,39
S01009558,513,182,206,1,27,63,34
S01009559,682,273,253,0,32,85,39
S01009560,594,229,222,0,31,73,39
S01009561,423,148,151,3,21,68,32
S01009562,612,200,283,0,19,54,56
S01009563,643,176,298,5,29,66,69
S01009564,566,133,301,1,19,41,71
S01009565,457,157,210,1,13,46,30
S01009566,816,243,409,0,35,85,44
S01009567,715,226,305,0,37,76,71
S01009568,584,192,254,0,23,64,51
S01009569,666,169,339,0,22,68,68
S01009570,449,131,211,0,23,41,43
S01009571,540,247,174,0,22,66,31
S01009572,842,324,303,4,32,109,70
S01009573,585,192,244,1,25,71,52
S01009574,860,259,342,0,36,98,125
S01009575,429,139,199,0,18,37,36
S01009576,459,99,291,0,7,38,24
S01009577,598,137,379,0,11,40,31
S01009578,613,186,303,0,34,61,29
S01009579,842,265,431,0,30,85,31
S01009580,748,177,474,0,22,51,24
S01009581,473,131,251,1,19,39,32
S01009582,414,131,180,0,20,50,33
S01009583,623,216,279,2,24,61,41
S01009584,432,109,240,0,17,33,33
S01009585,775,242,375,7,27,74,50
S01009586,589,138,290,0,24,67,70
S01009587,619,157,263,0,22,81,96
S01009588,897,243,396,0,27,94,137
S01009589,744,225,364,0,34,61,60
S01009590,582,115,403,0,13,25,26
S01009591,567,152,304,2,13,57,39
S01009592,493,90,339,0,10,27,27
S01009593,492,114,324,0,11,22,21
S01009594,543,120,346,2,15,43,17
S01009595,398,99,250,0,12,24,13
S01009596,640,232,268,0,27,79,34
S01009597,633,256,236,0,25,86,30
S01009598,518,230,164,2,19,68,35
S01009599,723,232,318,0,36,90,47
S01009600,511,186,168,0,23,74,60
S01009601,534,209,201,0,29,72,23
S01009602,614,109,425,2,11,44,23
S01009603,471,116,299,0,11,24,21
S01009604,704,198,359,1,31,59,56
S01009605,644,202,304,0,28,60,50
S01009606,468,123,252,0,8,36,49
S01009607,445,85,316,0,7,15,22
S01009608,489,145,207,0,20,50,67
S01009609,665,178,358,0,22,60,47
S01009610,835,238,413,2,17,96,69
S01009611,447,81,301,0,15,27,23
S01009612,506,164,241,0,18,45,38
S01009613,380,72,260,3,4,22,19
S01009614,434,98,264,0,8,34,30
S01009615,344,79,210,0,8,25,22
S01009616,611,203,309,0,24,39,36
S01009617,597,147,356,0,11,51,32
S01009618,569,190,252,3,23,63,38
S01009619,520,171,221,0,18,61,49
S01009620,662,231,254,1,24,75,77
S01009621,655,201,267,2,32,94,59
S01009622,587,281,164,0,29,83,30
S01009623,410,123,175,0,19,56,37
S01009624,733,207,334,0,32,85,75
S01009625,685,230,302,2,22,71,58
S01009626,452,158,173,2,16,56,47
S01009627,656,211,301,1,16,65,62
S01009628,473,93,229,2,9,45,95
S01009629,827,313,352,2,27,69,64
S01009630,632,257,249,0,27,53,46
S01009631,587,239,161,0,29,114,44
S01009632,452,200,130,0,14,63,45
S01009633,548,209,201,1,28,77,32
S01009634,469,131,192,0,14,46,86
S01009635,706,214,333,1,23,83,52
S01009636,752,328,194,6,34,113,77
S01009637,615,209,253,12,25,57,59
S01009638,555,205,225,4,25,58,38
S01009639,694,152,393,0,16,36,97
S01009640,512,182,154,4,25,88,59
S01009641,684,224,237,0,25,83,115
S01009642,782,286,287,2,27,110,70
S01009643,436,127,271,0,11,19,8
S01009644,661,188,341,0,18,59,55
S01009645,532,178,238,0,13,54,49
S01009646,471,151,226,0,9,40,45
S01009647,512,176,168,2,16,64,86
S01009648,717,196,352,1,29,66,73
S01009649,845,233,417,0,28,103,64
S01009650,692,121,442,0,14,36,79
S01009651,790,178,452,1,25,61,73
S01009652,699,113,378,2,21,66,119
S01009653,445,85,292,0,8,23,37
S01009654,475,123,223,1,20,55,53
S01009655,686,218,295,0,22,83,68
S01009656,613,194,233,2,23,69,92
S01009657,657,205,352,7,11,42,40
S01009658,567,174,287,0,27,52,27
S01009659,415,132,217,0,9,31,26
S01009660,845,239,450,6,28,83,39
S01009661,708,142,434,2,19,53,58
S01009662,588,155,323,0,20,54,36
S01009663,531,143,275,1,29,50,33
S01009664,734,165,448,2,18,62,39
S01009665,535,153,269,2,24,45,42
S01009666,640,172,355,1,15,42,55
S01009667,437,89,280,2,8,25,33
S01009668,463,106,276,0,15,47,19
S01009669,438,100,249,2,7,27,53
S01009670,651,176,339,6,18,59,53
S01009671,524,154,263,0,18,57,32
S01009672,650,179,337,0,10,78,46
S01009673,674,175,343,1,19,67,69
S01009674,728,160,428,5,21,67,47
S01009675,748,195,436,0,15,48,54
S01009676,659,150,388,0,12,53,56
S01009677,484,112,272,0,18,48,34
S01009678,509,125,276,0,16,42,50
S01009679,752,222,343,5,35,75,72
S01009680,667,216,320,2,18,68,43
S01009681,592,210,265,0,13,56,48
